coach,coach_id
Dwayne Stukes,914
Charlie Strong,915
Urban Meyer,916
Mike Mallory,917
Luke Thompson,918
Mario Jeberaeel,919
Bill Sheridan,920
Anthony Campanile,921
Fred Walker,922
Grant Udinski,923
Henry Burris,924
Jim Bob Cooter,925
Sean Cullina,926
Deshea Townsend,927
Seth Ryan,928
Ryan Milus,929
Renaldo Hill,930
Chandler Whitmer,931
Dan Shamash,932
Ryan Ficken,933
Robert Muschamp,934
Jay Rodgers ; fired on December 15,935
Derrick Ansley,936
Mike Hiestand,937
Jesse Minter,938
Phil Serchia,939
Andy Bischoff,940
Jay Rodgers,941
Jeff Imamura,942
Barrett Trotter,943
Rob Boras,944
Thad Bogardus,945
Zak Kromer,946
Aaron Kromer,947
Isaac Shewmaker,948
Josh Hammond,949
Pat White,950
Tom Arth,951
Sean Binckes,952
Brennan Carroll,953
Kyle Fuller,954
Beyah Rasool,955
Rip Rowan,956
Austin King,957
Greg Olson,958
Rich Bisaccia,959
Cody Cejda,960
Brandon Staley ; fired on December 15,961
John Timu,962
Tom McMahon,963
Matt Edwards,964
Matt Feeney,965
Rob Ryan,966
Mitch Singler,967
Jerry Schuplinski,968
Josh McDaniels,969
Taver Johnson,970
Marwan Maalouf,971
Brad White,972
Frank Giufre,973
Tim Berbenich,974
Pep Hamilton,975
Carlos Woods,976
Pete Metzelaars,977
Jeff Popovich,978
Shawn Terlecky,979
Robert Mathis,980
Ted Monachino,981
Will Burnham,982
Frank Ross,983
Leander Wallace,984
DeNarius McGhee,985
Ben McDaniels,986
Dele Harding,987
Ilir Emini,988
Danny Barrett,989
Bill O'Brien,990
Doug West,991
Andre Johnson,992
Ben Bolling,993
John Aylward,994
Matt O'Donnell,995
Cole Weeks,996
Mike Snyder,997
Cole Popovich,998
Nick Caley,999
Aaron Whitecotton,1000
Tyler Wolf,1001
Bob Babich,1002
Chris O'Hara,1003
Tony Sorrentino,1004
Matt Applebaum,1005
Jedd Fisch,1006
Alex Tanney,1007
Brian Mason,1008
Brent Jackson,1009
T. J. Ingels,1010
Brent Stocksill,1011
Chris Hewitt,1012
Lou Anarumo,1013
Denard Robinson,1014
Frank Scelfo,1015
John Donovan,1016
David Overstreet II,1017
Matt Eberflus,1018
Jerrod Johnson,1019
Tyler Boyles,1020
Raymond Ventrone,1021
Gunnard Twyner,1022
Bubba Ventrone,1023
Howard Mudd,1024
Payton McCollum,1025
Jeff Saturday,1026
Brian Bratton,1027
Berj Najarian,1028
Mike Pellegrino,1029
Cam Achord,1030
Vinnie Sunseri,1031
Tyler Hughes,1032
Steve Belichick,1033
Bret Bielema,1034
Evan Rothstein,1035
Bob Fraser,1036
Greg Schiano,1037
Dante Scarnecchia,1038
Brian Flores,1039
Charlie Weis,1040
Dick Coury,1041
Dick MacPherson,1042
Kevin Bickers,1043
Bradford Banta,1044
Leigh Torrence,1045
Joe Brady,1046
Curtis Johnson,1047
Dan Campbell,1048
James Willis,1049
Brendan Nugent,1050
Bob Bicknell,1051
Ronald Curry,1052
Dan Roushar,1053
Adam Gristick,1054
Michael Wilhoite,1055
Sterling Moore,1056
Jeremy Springer,1057
Kevin Richardson,1058
Riley Larkin,1059
Thomas Brown,1060
DeMarcus Covington,1061
Omar Young,1062
Alex Van Pelt,1063
Matthew Slater,1064
Jerod Mayo,1065
Vinny DePalma,1066
Rusty McKinney,1067
Jim Washburn,1068
Vance Joseph,1069
Chris Kuper,1070
George Godsey,1071
Lance Bennett,1072
Josh Boyer,1073
Eric Studesville,1074
Mike LaFleur,1075
Chase Blackburn,1076
Mike Harris,1077
Nathan Scheelhaase,1078
Jimmy Lake,1079
Giff Smith,1080
Chris Shula,1081
Rob Calabrese,1082
Steve Ferentz,1083
Ken O'Keefe,1084
Ben Martin,1085
Zac Taylor,1086
Kolby Smith,1087
Brian Duker,1088
Anthony Weaver,1089
Rob Everett,1090
Eric Henderson,1091
Kevin O'Connell,1092
Jonathan Cooley,1093
Nick Jones,1094
Zac Robinson,1095
Lance Schulters,1096
Wes Phillips,1097
Derron Montgomery,1098
Ryan Cordell,1099
Brian Angelichio,1100
Matt Daniels,1101
Andre Patterson,1102
AC Patterson,1103
Adam Zimmer,1104
Nate Kaeding,1105
Nick Rallis,1106
Henry Schneider IV,1107
Daronte Jones,1108
Imarjaye Albury,1109
Chenzo Funari,1110
Charlie Frye,1111
Ben Ellefson,1112
Randy Hanson,1113
Mike Tice,1114
Roman Sapolu,1115
Jim Panagos,1116
Sam Siefkes,1117
George Edwards,1118
Kevin Stefanski,1119
Paul Ferraro,1120
Clay Matchett and Chad O'Shea,1121
Todd Nielson,1122
Steve Loney,1123
Dean Dalton,1124
Richard Solomon,1125
Trent Walters,1126
Brian Billick,1127
Wade Harman,1128
George O'Leary,1129
Bill Musgrave,1130
Cameron Turner,1131
Brian Murphy,1132
Pete Bercich,1133
Dennis Polian,1134
Tiquan Underwood,1135
Shawn Jefferson,1136
Chad O'Shea,1137
Mike Person,1138
Bus Mertes,1139
Patrick Surtain,1140
Floyd Reese,1141
Mark Jackson,1142
DeWayne Walker,1143
Lew Erber,1144
Sean Gustus,1145
Nick Caserio,1146
Mike Judge,1147
Mike Priefer,1148
Jeff Howard,1149
Andrew Janocko,1150
Fred Pagac,1151
David Corrao,1152
Paul Pasqualoni,1153
Steve Bush,1154
Charlie Bullen,1155
Kevin Coyle,1156
Ben Johnson,1157
Chad Walker,1158
Marvin Marshall,1159
John Bonamego fired on October 5th,1160
Donnie Henderson,1161
John Hufnagel,1162
Dave Wannstedt,1163
Robert Nunn,1164
Carl Taseff,1165
Paul T Boudreau,1166
Charlie Baggett,1167
John Gamble,1168
James Coley,1169
Glenn Pires,1170
Will Muschamp,1171
George Warhop,1172
Mike Smith,1173
Skyler Fulton,1174
Tyrone Pettaway,1175
Jay Kaiser,1176
Tony Sparano Jr,1177
Bryan Cox,1178
Paul Kelly,1179
Art Valero,1180
Chris Wiesehan,1181
Jim Pyne,1182
Bob Ligashesky,1183
Tim Holt,1184
Richard Mann,1185
Doug Williams,1186
Cannon Matthews,1187
Luke Del Rio and Todd Storm,1188
Matt Cavanaugh,1189
Reggie Howard,1190
Dave Ragone,1191
