Team,Year,Role,Name
Arizona Cardinals,1999,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,1999,General manager,Bob Ferguson
Arizona Cardinals,1999,Assistant to the president,Rod Graves
Arizona Cardinals,1999,Head coach,Vince Tobin
Arizona Cardinals,1999,Offensive coordinator,Marc Trestman
Arizona Cardinals,1999,Quarterbacks,John Garrett
Arizona Cardinals,1999,Running backs,Johnny Roland
Arizona Cardinals,1999,Wide receivers,Vic Rapp
Arizona Cardinals,1999,Tight ends,Hank Kuhlmann
Arizona Cardinals,1999,Offensive line,George Warhop
Arizona Cardinals,1999,Defensive coordinator,Dave McGinnis
Arizona Cardinals,1999,Defensive line,Joe Greene
Arizona Cardinals,1999,Linebackers,Glenn Pires
Arizona Cardinals,1999,Defensive backs,Larry Marmie
Arizona Cardinals,1999,Special teams,Al Everest
Arizona Cardinals,1999,Strength and conditioning,Bob Rogucki
Arizona Cardinals,2002,President,Bill Bidwill
Arizona Cardinals,2002,Vice president,Larry Wilson
Arizona Cardinals,2002,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2002,General manager,Bob Ferguson
Arizona Cardinals,2002,Assistant to the president,Rod Graves
Arizona Cardinals,2002,Head coach,Dave McGinnis
Arizona Cardinals,2002,Offensive coordinator,Rich Olson
Arizona Cardinals,2002,Quarterbacks,Geep Chryst
Arizona Cardinals,2002,Running backs,Johnny Roland
Arizona Cardinals,2002,Wide receivers,Jerry Sullivan
Arizona Cardinals,2002,Tight ends,Pete Hoener
Arizona Cardinals,2002,Offensive line,George Warhop
Arizona Cardinals,2002,Assistant Off. Line/Off. Quality Control,Mike Devlin
Arizona Cardinals,2002,Defensive coordinator,Larry Marmie
Arizona Cardinals,2002,Defensive line,Joe Greene
Arizona Cardinals,2002,Linebackers,Jeff FitzGerald
Arizona Cardinals,2002,Defensive backs,Kevin Ramsey
Arizona Cardinals,2002,Special teams,Hank Kuhlmann
Arizona Cardinals,2002,Special Teams Assistant/Def. Quality Control,Stan Kwan
Arizona Cardinals,2002,Strength and conditioning,Bob Rogucki
Arizona Cardinals,1995,President,Bill Bidwill
Arizona Cardinals,1995,Vice president,Larry Wilson
Arizona Cardinals,1995,Assistant general manager,Joe Woolley
Arizona Cardinals,1995,Director of pro scouting,Keith Kidd
Arizona Cardinals,1995,Director of college scouting,Bo Bolinger
Arizona Cardinals,1995,Head coach/general manager,Buddy Ryan
Arizona Cardinals,1995,Offensive coordinator,Dave Atkins
Arizona Cardinals,1995,Quarterbacks,Matt Cavanaugh
Arizona Cardinals,1995,Running backs,George Martinez
Arizona Cardinals,1995,Receivers/tight ends,Ted Plumb
Arizona Cardinals,1995,Offensive line,Dan Neal
Arizona Cardinals,1995,Defensive coordinator,Ronnie Jones
Arizona Cardinals,1995,Defensive line,Jim Stanley
Arizona Cardinals,1995,Linebackers,Rex Ryan
Arizona Cardinals,1995,Defensive backs,Rob Ryan
Arizona Cardinals,1995,Special teams,Al Roberts
Arizona Cardinals,1995,Strength and conditioning,Bob Rogucki
Arizona Cardinals,1998,President,Bill Bidwill
Arizona Cardinals,1998,Vice president,Larry Wilson
Arizona Cardinals,1998,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,1998,Vice president of player personnel,Bob Ferguson
Arizona Cardinals,1998,Assistant to the president,Rod Graves
Arizona Cardinals,1998,Head coach,Vince Tobin
Arizona Cardinals,1998,Offensive coordinator,Marc Trestman
Arizona Cardinals,1998,Quarterbacks,Geep Chryst
Arizona Cardinals,1998,Running backs,Johnny Roland
Arizona Cardinals,1998,Wide receivers,Vic Rapp
Arizona Cardinals,1998,Tight ends,Hank Kuhlmann
Arizona Cardinals,1998,Offensive line,George Warhop
Arizona Cardinals,1998,Defensive coordinator,Dave McGinnis
Arizona Cardinals,1998,Defensive line,Joe Greene
Arizona Cardinals,1998,Linebackers,Glenn Pires
Arizona Cardinals,1998,Defensive backs,Larry Marmie
Arizona Cardinals,1998,Special teams,Al Everest
Arizona Cardinals,1998,Strength and conditioning,Bob Rogucki
Arizona Cardinals,2005,President,Bill Bidwill
Arizona Cardinals,2005,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2005,Vice president of football operations,Rod Graves
Arizona Cardinals,2005,Senior director of football operations,"John Idzik, Jr."
Arizona Cardinals,2005,Head coach,Dennis Green
Arizona Cardinals,2005,Offensive coordinator,Keith Rowen
Arizona Cardinals,2005,Quarterbacks,Mike Kruczek
Arizona Cardinals,2005,Running backs,Kirby Wilson
Arizona Cardinals,2005,Wide receivers,Mike Wilson
Arizona Cardinals,2005,Tight ends,Carl Hargrave
Arizona Cardinals,2005,Offensive line,Everett Lindsay
Arizona Cardinals,2005,Offensive quality control,Bill Khayat
Arizona Cardinals,2005,Defensive coordinator,Clancy Pendergast
Arizona Cardinals,2005,Defensive line,Deek Pollard
Arizona Cardinals,2005,Linebackers,Frank Bush
Arizona Cardinals,2005,Defensive backs,Richard Solomon
Arizona Cardinals,2005,Defensive quality control,Rick Courtright
Arizona Cardinals,2005,Special teams,Kevin O'Dea
Arizona Cardinals,2005,Strength and conditioning,Steve Wetzel
Arizona Cardinals,2005,Assistant strength and conditioning,Ryan Capretta
Arizona Cardinals,2005,Assistant strength and conditioning,Daryl Lawrence
Arizona Cardinals,1996,President,Bill Bidwill
Arizona Cardinals,1996,Vice president,Larry Wilson
Arizona Cardinals,1996,Assistant general manager,Joe Woolley
Arizona Cardinals,1996,Assistant to the president,Bob Ferguson
Arizona Cardinals,1996,Director of pro scouting,Keith Kidd
Arizona Cardinals,1996,Director of college scouting,Bo Bolinger
Arizona Cardinals,1996,Head coach,Vince Tobin
Arizona Cardinals,1996,Offensive coordinator,Jim Fassel
Arizona Cardinals,1996,Running backs,Jim Skipper
Arizona Cardinals,1996,Wide receivers,Vic Rapp
Arizona Cardinals,1996,Tight ends/quality control,Geep Chryst
Arizona Cardinals,1996,Offensive line,Carl Mauck
Arizona Cardinals,1996,Defensive coordinator,Dave McGinnis
Arizona Cardinals,1996,Defensive line,Joe Greene
Arizona Cardinals,1996,Linebackers,Glenn Pires
Arizona Cardinals,1996,Defensive backs,Larry Marmie
Arizona Cardinals,1996,Special teams,Al Everest
Arizona Cardinals,1996,Strength and conditioning,Bob Rogucki
Arizona Cardinals,2006,President,Bill Bidwill
Arizona Cardinals,2006,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2006,Vice president of football operations,Rod Graves
Arizona Cardinals,2006,Senior director of football operations,"John Idzik, Jr."
Arizona Cardinals,2006,Director of college scouting,Steve Keim
Arizona Cardinals,2006,Head coach,Dennis Green
Arizona Cardinals,2006,Assistant head coach/linebackers,Frank Bush
Arizona Cardinals,2006,Offensive coordinator,Keith Rowen
Arizona Cardinals,2006,Quarterbacks/interim offensive coordinator,Mike Kruczek
Arizona Cardinals,2006,Running backs,Kirby Wilson
Arizona Cardinals,2006,Wide receivers,Mike Wilson
Arizona Cardinals,2006,Tight ends,Carl Hargrave
Arizona Cardinals,2006,Offensive line,Steve Loney
Arizona Cardinals,2006,Offensive quality control,Bill Khayat
Arizona Cardinals,2006,Defensive coordinator,Clancy Pendergast
Arizona Cardinals,2006,Defensive line,Larry Brooks
Arizona Cardinals,2006,Defensive backs,Richard Solomon
Arizona Cardinals,2006,Defensive quality control,Rick Courtright
Arizona Cardinals,2006,Special teams coordinator,Gary Zauner
Arizona Cardinals,2006,Strength and conditioning,Steve Wetzel
Arizona Cardinals,2006,Assistant strength and conditioning,Daryl Lawrence
Arizona Cardinals,2006,Assistant strength and conditioning,Keith Vulgamott
Arizona Cardinals,2001,President,Bill Bidwill
Arizona Cardinals,2001,Vice president,Larry Wilson
Arizona Cardinals,2001,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2001,General manager,Bob Ferguson
Arizona Cardinals,2001,Assistant to the president,Rod Graves
Arizona Cardinals,2001,Head coach,Dave McGinnis
Arizona Cardinals,2001,Offensive coordinator,Rich Olson
Arizona Cardinals,2001,Quarterbacks,Geep Chryst
Arizona Cardinals,2001,Running backs,Johnny Roland
Arizona Cardinals,2001,Wide receivers,Jerry Sullivan
Arizona Cardinals,2001,Tight ends,Pete Hoener
Arizona Cardinals,2001,Offensive line,George Warhop
Arizona Cardinals,2001,Assistant Off. Line/Off. Quality Control,Mike Devlin
Arizona Cardinals,2001,Defensive coordinator,Larry Marmie
Arizona Cardinals,2001,Defensive line,Joe Greene
Arizona Cardinals,2001,Linebackers,Jeff FitzGerald
Arizona Cardinals,2001,Defensive backs,Kevin Ramsey
Arizona Cardinals,2001,Special teams,Hank Kuhlmann
Arizona Cardinals,2001,Special Teams Assistant/Def. Quality Control,Stan Kwan
Arizona Cardinals,2001,Strength and conditioning,Bob Rogucki
Arizona Cardinals,2004,President,Bill Bidwill
Arizona Cardinals,2004,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2004,Vice president of football operations,Rod Graves
Arizona Cardinals,2004,Senior director of football operations,"John Idzik, Jr."
Arizona Cardinals,2004,Head coach,Dennis Green
Arizona Cardinals,2004,Offensive coordinator,Alex Wood
Arizona Cardinals,2004,Quarterbacks,Mike Kruczek
Arizona Cardinals,2004,Running backs,Kirby Wilson
Arizona Cardinals,2004,Wide receivers,Robert Ford
Arizona Cardinals,2004,Tight ends,Mike Wilson
Arizona Cardinals,2004,Offensive line,Bob Wylie
Arizona Cardinals,2004,Offensive quality control,Bill Khayat
Arizona Cardinals,2004,Offensive consultant,Carl Hargrave
Arizona Cardinals,2004,Defensive coordinator,Clancy Pendergast
Arizona Cardinals,2004,Defensive line,Deek Pollard
Arizona Cardinals,2004,Linebackers,Frank Bush
Arizona Cardinals,2004,Defensive backs,Richard Solomon
Arizona Cardinals,2004,Defensive quality control,Rick Courtright
Arizona Cardinals,2004,Special teams,Kevin O'Dea
Arizona Cardinals,2004,Strength and conditioning,Steve Wetzel
Arizona Cardinals,2004,Assistant strength and conditioning,Ryan Capretta
Arizona Cardinals,2004,Assistant strength and conditioning,Daryl Lawrence
Arizona Cardinals,2000,President,Bill Bidwill
Arizona Cardinals,2000,Vice president,Larry Wilson
Arizona Cardinals,2000,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,2000,General manager,Bob Ferguson
Arizona Cardinals,2000,Assistant to the president,Rod Graves
Arizona Cardinals,2000,Head coach,Vince Tobin (games 1–7)
Arizona Cardinals,2000,Head coach,Dave McGinnis (games 8–16)
Arizona Cardinals,2000,Offensive coordinator,Marc Trestman
Arizona Cardinals,2000,Quarterbacks,John Garrett
Arizona Cardinals,2000,Running backs,Johnny Roland
Arizona Cardinals,2000,Wide receivers,Vic Rapp
Arizona Cardinals,2000,Tight ends,Don Lawrence
Arizona Cardinals,2000,Offensive line,George Warhop
Arizona Cardinals,2000,Defensive coordinator,Dave McGinnis (games 1–7)
Arizona Cardinals,2000,Defensive line,Joe Greene
Arizona Cardinals,2000,Linebackers,Glenn Pires
Arizona Cardinals,2000,Defensive backs,Larry Marmie
Arizona Cardinals,2000,Quality control,Jeff FitzGerald
Arizona Cardinals,2000,Special teams,Hank Kuhlmann
Arizona Cardinals,2000,Strength and conditioning,Bob Rogucki
Atlanta Falcons,1983,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1983,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1983,Executive vice president/chief operating officer,Eddie LeBaron
Atlanta Falcons,1983,General manager,Tom Braatz
Atlanta Falcons,1983,Head coach,Dan Henning
Atlanta Falcons,1983,Quarterbacks/running backs,Steve Crosby
Atlanta Falcons,1983,Receivers,Bob Harrison
Atlanta Falcons,1983,Offensive line,Bob Fry
Atlanta Falcons,1983,Assistant offensive line,Garry Puetz
Atlanta Falcons,1983,Assistant head coach/defensive line,Dan Sekanovich
Atlanta Falcons,1983,Defensive coordinator,John Marshall
Atlanta Falcons,1983,Linebackers,Bobby Jackson
Atlanta Falcons,1983,Secondary,Jack Christiansen
Atlanta Falcons,1983,Special teams,Ted Fritsch
Atlanta Falcons,1983,Strength and conditioning,George Dostal
Atlanta Falcons,1981,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1981,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1981,General manager,Eddie LeBaron
Atlanta Falcons,1981,Director of player personnel,Tom Braatz
Atlanta Falcons,1981,Head coach,Leeman Bennett
Atlanta Falcons,1981,Quarterbacks,Dick Wood
Atlanta Falcons,1981,Offensive backs,John North
Atlanta Falcons,1981,Receivers,Jimmy Raye
Atlanta Falcons,1981,Offensive line,Bill Walsh
Atlanta Falcons,1981,Defensive coordinator,Jerry Glanville
Atlanta Falcons,1981,Defensive line,Jim Stanley
Atlanta Falcons,1981,Linebackers,Doug Shively
Atlanta Falcons,1982,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1982,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1982,Executive vice president/chief operating officer,Eddie LeBaron
Atlanta Falcons,1982,General manager,Tom Braatz
Atlanta Falcons,1982,Head coach,Leeman Bennett
Atlanta Falcons,1982,Quarterbacks,Dick Wood
Atlanta Falcons,1982,Offensive backs,John North
Atlanta Falcons,1982,Receivers,Jimmy Raye
Atlanta Falcons,1982,Offensive line,Bill Walsh
Atlanta Falcons,1982,Defensive coordinator,Jerry Glanville
Atlanta Falcons,1982,Defensive line,Jim Stanley
Atlanta Falcons,1982,Linebackers,Doug Shively
Atlanta Falcons,1990,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1990,President,Taylor Smith
Atlanta Falcons,1990,Vice president of player personnel,Ken Herock
Atlanta Falcons,1990,Director of pro scouting,Chuck Connor
Atlanta Falcons,1990,Head coach,Jerry Glanville
Atlanta Falcons,1990,Assistant head coach/offense,Ray Sherman
Atlanta Falcons,1990,Quarterbacks,Tom Rossley
Atlanta Falcons,1990,Wide receivers,Jimmy Robinson
Atlanta Falcons,1990,Tight ends,Keith Rowen
Atlanta Falcons,1990,Offensive line,Wayne McDuffie
Atlanta Falcons,1990,Assistant head coach/defense,Doug Shively
Atlanta Falcons,1990,Defensive line,Bill Kollar
Atlanta Falcons,1990,Secondary,Jimmy Carr
Atlanta Falcons,1990,Special teams,Keith Rowen
Atlanta Falcons,1990,Strength and conditioning,Tim Jorgensen
Atlanta Falcons,1980,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1980,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1980,General manager,Eddie LeBaron
Atlanta Falcons,1980,Director of player personnel,Tom Braatz
Atlanta Falcons,1980,Head coach,Leeman Bennett
Atlanta Falcons,1980,Quarterbacks,Dick Wood
Atlanta Falcons,1980,Offensive backs,John North
Atlanta Falcons,1980,Receivers,Jimmy Raye
Atlanta Falcons,1980,Offensive line,Bill Walsh
Atlanta Falcons,1980,Defensive coordinator,Jerry Glanville
Atlanta Falcons,1980,Defensive line,Jim Stanley
Atlanta Falcons,1980,Linebackers,Doug Shively
Atlanta Falcons,1986,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1986,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1986,Executive vice president,Taylor Smith
Atlanta Falcons,1986,Director of player personnel,Tom Braatz
Atlanta Falcons,1986,Director of pro personnel,Bill Jobko
Atlanta Falcons,1986,Assistant for research and development,Joe Madden
Atlanta Falcons,1986,Head coach,Dan Henning
Atlanta Falcons,1986,Running backs,Sam Elliott
Atlanta Falcons,1986,Receivers,Bob Harrison
Atlanta Falcons,1986,Tight ends,Bobby Jackson
Atlanta Falcons,1986,Offensive line,Larry Beightol
Atlanta Falcons,1986,Quality control,Steve Crosby
Atlanta Falcons,1986,Defensive coordinator,Marion Campbell
Atlanta Falcons,1986,Defensive line,Tommy Brasher
Atlanta Falcons,1986,Linebackers,Chuck Clausen
Atlanta Falcons,1986,Secondary,Fred Bruney
Atlanta Falcons,1986,Special teams,Ted Fritsch
Atlanta Falcons,1986,Strength and conditioning,George Dostal
Atlanta Falcons,1988,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1988,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1988,Executive vice president,Taylor Smith
Atlanta Falcons,1988,Director of player personnel,Ken Herock
Atlanta Falcons,1988,Director of pro personnel,Bill Jobko
Atlanta Falcons,1988,Head coach,Marion Campbell
Atlanta Falcons,1988,Assistant head coach/offense,Jim Hanifan
Atlanta Falcons,1988,Offensive coordinator,Rod Dowhower
Atlanta Falcons,1988,Running backs,Steve Crosby
Atlanta Falcons,1988,Receivers,Jimmy Raye
Atlanta Falcons,1988,Tight ends,Foge Fazio
Atlanta Falcons,1988,Assistant head coach/defense,Fred Bruney
Atlanta Falcons,1988,Defensive line,Tommy Brasher
Atlanta Falcons,1988,Linebackers,Chuck Clausen
Atlanta Falcons,1988,Defensive assistant,Claude Humphrey
Atlanta Falcons,1988,Special teams,Foge Fazio
Atlanta Falcons,1988,Strength and conditioning,Tim Jorgensen
Atlanta Falcons,1985,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1985,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1985,Executive vice president/chief operating officer,Eddie LeBaron
Atlanta Falcons,1985,General manager,Tom Braatz
Atlanta Falcons,1985,Head coach,Dan Henning
Atlanta Falcons,1985,Running backs,Sam Elliott
Atlanta Falcons,1985,Receivers,Bob Harrison
Atlanta Falcons,1985,Offensive line,Larry Beightol
Atlanta Falcons,1985,Tight ends/h–backs,Garry Puetz
Atlanta Falcons,1985,Assistant head coach/defensive line,Dan Sekanovich
Atlanta Falcons,1985,Defensive coordinator,John Marshall
Atlanta Falcons,1985,Linebackers,Bobby Jackson
Atlanta Falcons,1985,Secondary,Jack Stanton
Atlanta Falcons,1985,Defensive assistant,Joe Madden
Atlanta Falcons,1985,Special teams,Ted Fritsch
Atlanta Falcons,1985,Strength and conditioning,George Dostal
Atlanta Falcons,1987,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1987,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1987,Executive vice president,Taylor Smith
Atlanta Falcons,1987,Director of player personnel,Ken Herock
Atlanta Falcons,1987,Director of pro personnel,Bill Jobko
Atlanta Falcons,1987,Head coach,Marion Campbell
Atlanta Falcons,1987,Assistant head coach/offense,Jim Hanifan
Atlanta Falcons,1987,Offensive coordinator,Rod Dowhower
Atlanta Falcons,1987,Running backs,Steve Crosby
Atlanta Falcons,1987,Receivers,Jimmy Raye
Atlanta Falcons,1987,Tight ends,Al Groh
Atlanta Falcons,1987,Assistant head coach/defense,Fred Bruney
Atlanta Falcons,1987,Defensive line,Tommy Brasher
Atlanta Falcons,1987,Linebackers,Chuck Clausen
Atlanta Falcons,1987,Defensive assistant,Claude Humphrey
Atlanta Falcons,1987,Special teams,Al Groh
Atlanta Falcons,1987,Strength and conditioning,Tim Jorgensen
Atlanta Falcons,1992,Chairman of the Board,Rankin M. Smith Sr.
Atlanta Falcons,1992,President,Taylor Smith
Atlanta Falcons,1992,Vice President of Player Personnel,Ken Herock
Atlanta Falcons,1992,Director of pro personnel,Chuck Connor
Atlanta Falcons,1992,Head coach,Jerry Glanville
Atlanta Falcons,1992,Assistant head coach/offense,June Jones
Atlanta Falcons,1992,Running Backs,Ollie Wilson
Atlanta Falcons,1992,Wide receivers,Jimmy Robinson
Atlanta Falcons,1992,Tight ends,Bobby April
Atlanta Falcons,1992,Offensive line,Keith Rowen
Atlanta Falcons,1992,Assistant head coach/defense,Doug Shively
Atlanta Falcons,1992,Defensive line,Bill Kollar
Atlanta Falcons,1992,Secondary,Jimmy Carr
Atlanta Falcons,1992,Special teams,Bobby April
Atlanta Falcons,1992,Strength and conditioning,Tim Jorgensen
Atlanta Falcons,1993,Chairman of the Board,Rankin M. Smith Sr.
Atlanta Falcons,1993,President,Taylor Smith
Atlanta Falcons,1993,Vice President of Player Personnel,Ken Herock
Atlanta Falcons,1993,Director of Pro Personnel,Chuck Connor
Atlanta Falcons,1993,Head Coach,Jerry Glanville
Atlanta Falcons,1993,Assistant Head Coach/Offense,June Jones
Atlanta Falcons,1993,Running Backs,Ollie Wilson
Atlanta Falcons,1993,Wide Receivers,Jimmy Robinson
Atlanta Falcons,1993,Tight Ends,Bobby April
Atlanta Falcons,1993,Offensive Line,Keith Rowen
Atlanta Falcons,1993,Assistant Head Coach/Defense,Doug Shively
Atlanta Falcons,1993,Defensive Line,Bill Kollar
Atlanta Falcons,1993,Secondary,Jimmy Carr
Atlanta Falcons,1993,Special Teams,Bobby April
Atlanta Falcons,1993,Strength and Conditioning,Tim Jorgensen
Atlanta Falcons,1989,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1989,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1989,Executive vice president,Taylor Smith
Atlanta Falcons,1989,Director of player personnel,Ken Herock
Atlanta Falcons,1989,Director of pro scouting,Chuck Connor
Atlanta Falcons,1989,Head coach,Marion Campbell
Atlanta Falcons,1989,Assistant head coach/offense,Jim Hanifan
Atlanta Falcons,1989,Offensive coordinator,Rod Dowhower
Atlanta Falcons,1989,Running backs,Steve Crosby
Atlanta Falcons,1989,Receivers,Jimmy Raye
Atlanta Falcons,1989,Tight ends,Foge Fazio
Atlanta Falcons,1989,Assistant head coach/defense,Fred Bruney
Atlanta Falcons,1989,Defensive line,Tommy Brasher
Atlanta Falcons,1989,Defensive assistant,Claude Humphrey
Atlanta Falcons,1989,Special teams,Foge Fazio
Atlanta Falcons,1989,Strength and conditioning,Tim Jorgensen
Atlanta Falcons,1984,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1984,President,"Rankin M. Smith, Jr."
Atlanta Falcons,1984,Executive vice president/chief operating officer,Eddie LeBaron
Atlanta Falcons,1984,General manager,Tom Braatz
Atlanta Falcons,1984,Head coach,Dan Henning
Atlanta Falcons,1984,Quarterbacks/running backs,Steve Crosby
Atlanta Falcons,1984,Receivers,Bob Harrison
Atlanta Falcons,1984,Offensive line,Bob Fry
Atlanta Falcons,1984,Assistant offensive line,Garry Puetz
Atlanta Falcons,1984,Assistant head coach/defensive line,Dan Sekanovich
Atlanta Falcons,1984,Defensive coordinator,John Marshall
Atlanta Falcons,1984,Linebackers,Bobby Jackson
Atlanta Falcons,1984,Secondary,Jack Stanton
Atlanta Falcons,1984,Special teams,Ted Fritsch
Atlanta Falcons,1984,Strength and conditioning,George Dostal
Atlanta Falcons,1994,Chairman of the Board,Rankin M. Smith Sr.
Atlanta Falcons,1994,President,Taylor Smith
Atlanta Falcons,1994,Vice President of Player Personnel,Ken Herock
Atlanta Falcons,1994,Director of Pro Personnel,Chuck Connor
Atlanta Falcons,1994,Head Coach,June Jones
Atlanta Falcons,1994,Quarterbacks,Mouse Davis
Atlanta Falcons,1994,Running Backs,Ollie Wilson
Atlanta Falcons,1994,Assistant Head Coach/Wide Receivers,Milt Jackson
Atlanta Falcons,1994,Offensive Line,Bob Palcic
Atlanta Falcons,1994,Defensive Coordinator,Jim Bates
Atlanta Falcons,1994,Defensive Line,Bill Kollar
Atlanta Falcons,1994,Linebackers,Joe Haering
Atlanta Falcons,1994,Outside Linebackers,Keith Armstrong
Atlanta Falcons,1994,Secondary,Greg Brown
Atlanta Falcons,1994,Defensive Assistant,Tim Marcum
Atlanta Falcons,1994,Assistant Head Coach/Special Teams,Frank Gansz
Atlanta Falcons,1994,Strength and Conditioning,Tim Jorgensen
Atlanta Falcons,1991,Chairman of the board,Rankin M. Smith Sr.
Atlanta Falcons,1991,President,Taylor Smith
Atlanta Falcons,1991,Vice–president of player personnel,Ken Herock
Atlanta Falcons,1991,Director of pro scouting,Chuck Connor
Atlanta Falcons,1991,Head coach,Jerry Glanville
Atlanta Falcons,1991,Assistant head coach/offense,June Jones
Atlanta Falcons,1991,Running backs,Ollie Wilson
Atlanta Falcons,1991,Wide receivers,Jimmy Robinson
Atlanta Falcons,1991,Tight ends,Bobby April
