role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Nickel package/secondary,nickel package/secondary,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks
Nickel/defensive backs,nickel/defensive backs,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks
Passing defense coordinator/secondary,passing defense coordinator/secondary,Position Coach - Defense,Defensive Backs Coach,DB,
Passing game specialist/defensive backs,passing game specialist/defensive backs,Position Coach - Defense,Defensive Backs Coach,DB,
Quality Control / Assistant Defensive Backs (Secondary) Coach,quality control / assistant defensive backs (secondary) coach,Position Coach - Defense,Defensive Backs Coach,DB,
Safeties,safeties,Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Safeties and nickel backs,safeties and nickel backs,Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Safeties/third downs,safeties/third downs,Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Secondary,secondary,Position Coach - Defense,Defensive Backs Coach,DB,
Secondary (Safeties),secondary (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Secondary (safeties),secondary (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Secondary assistant,secondary assistant,Position Coach - Defense,Defensive Backs Coach,DB,
Secondary/corners,secondary/corners,Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks
Secondary/nickel specialist,secondary/nickel specialist,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks
Secondary/nickels,secondary/nickels,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks
Secondary/safeties,secondary/safeties,Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Secondary/third down package,secondary/third down package,Position Coach - Defense,Defensive Backs Coach,DB,
Senior defensive assistant/cornerbacks,senior defensive assistant/cornerbacks,Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks
Senior defensive assistant/safeties,senior defensive assistant/safeties,Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Senior defensive assistant/secondary,senior defensive assistant/secondary,Position Coach - Defense,Defensive Backs Coach,DB,
Special Assistant / Defensive Backfield Coach,special assistant / defensive backfield coach,Position Coach - Defense,Defensive Backs Coach,DB,
Special assistant/secondary,special assistant/secondary,Position Coach - Defense,Defensive Backs Coach,DB,
Special teams/assistant defensive backs,special teams/assistant defensive backs,Position Coach - Defense,Defensive Backs Coach,DB,
Third Down Specialist (Safeties),third down specialist (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties
Assistant Defensive Line,assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line,assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/assistant linebackers,assistant defensive line/assistant linebackers,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/assistant special teams,assistant defensive line/assistant special teams,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/defensive assistant,assistant defensive line/defensive assistant,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/defensive ends,assistant defensive line/defensive ends,Position Coach - Defense,Defensive Line Coach,DL,Ends
Assistant defensive line/defensive tackles,assistant defensive line/defensive tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles
Assistant defensive line/linebackers,assistant defensive line/linebackers,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/outside linebackers,assistant defensive line/outside linebackers,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive line/pass rush specialist,assistant defensive line/pass rush specialist,Position Coach - Defense,Defensive Line Coach,DL,
Assistant Strength/Conditioning and Assistant Defensive Line,assistant strength/conditioning and assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Co–defensive line,co-defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive assistant/assistant defensive line,defensive assistant/assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive assistant/Assistant Defensive Line,defensive assistant/assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive assistant/defensive ends,defensive assistant/defensive ends,Position Coach - Defense,Defensive Line Coach,DL,Ends
Defensive assistant/defensive line,defensive assistant/defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive ends,defensive ends,Position Coach - Defense,Defensive Line Coach,DL,Ends
Defensive ends/outside linebackers,defensive ends/outside linebackers,Position Coach - Defense,Defensive Line Coach,DL,Ends
Defensive front assistant,defensive front assistant,Position Coach - Defense,Defensive Line Coach,DL,
Defensive front seven,defensive front seven,Position Coach - Defense,Defensive Line Coach,DL,
Defensive front specialist,defensive front specialist,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line,defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive Line,defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line (Regular Season),defensive line (regular season),Position Coach - Defense,Defensive Line Coach,DL,
Defensive line assistant,defensive line assistant,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line coach,defensive line coach,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line Coach,defensive line coach,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line/chief assistant,defensive line/chief assistant,Position Coach - Defense,Defensive Line Coach,DL,
Defensive Line/ends,defensive line/ends,Position Coach - Defense,Defensive Line Coach,DL,Ends
Defensive line/ends,defensive line/ends,Position Coach - Defense,Defensive Line Coach,DL,Ends
Defensive line/game management,defensive line/game management,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line/run defense,defensive line/run defense,Position Coach - Defense,Defensive Line Coach,DL,
Defensive line/special teams,defensive line/special teams,Position Coach - Defense,Defensive Line Coach,DL,
Defensive Line/tackles,defensive line/tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles
Defensive line/tackles,defensive line/tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles
Defensive tackle,defensive tackle,Position Coach - Defense,Defensive Line Coach,DL,Tackles
Defensive tackles,defensive tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles
Front seven specialist,front seven specialist,Position Coach - Defense,Defensive Line Coach,DL,
Interim defensive coordinator/defensive line,interim defensive coordinator/defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Interim head coach/defensive line,interim head coach/defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Senior assistant defensive line,senior assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Senior assistant/defensive line,senior assistant/defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Senior defensive assistant/defensive line,senior defensive assistant/defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Special defensive assistant/assistant defensive line,special defensive assistant/assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Special defensive assistant/asst. defensive line,special defensive assistant/assistant. defensive line,Position Coach - Defense,Defensive Line Coach,DL,
Assistant defensive backs/nickelbacks,assistant defensive backs/nickelbacks,Position Coach - Defense,Linebackers Coach,LB,
Assistant defensive coordinator/linebackers,assistant defensive coordinator/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Assistant inside linebackers,assistant inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside
Assistant linebackers,assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,
Assistant Linebackers,assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,
Assistant linebackers coach,assistant linebackers coach,Position Coach - Defense,Linebackers Coach,LB,
Assistant linebackers/assistant secondary,assistant linebackers/assistant secondary,Position Coach - Defense,Linebackers Coach,LB,
Assistant linebackers/game management,assistant linebackers/game management,Position Coach - Defense,Linebackers Coach,LB,
Assistant linebackers/pass rush specialist,assistant linebackers/pass rush specialist,Position Coach - Defense,Linebackers Coach,LB,
Assistant outside linebackers,assistant outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Assistant Outside Linebackers,assistant outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Assistant secondary/linebackers,assistant secondary/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defense/Linebackers,defense/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defense/linebackers,defense/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defensive assistant/assistant linebackers,defensive assistant/assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defensive assistant/lbs and dbs,defensive assistant/lbs and dbs,Position Coach - Defense,Linebackers Coach,LB,
Defensive Assistant/Linebackers,defensive assistant/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defensive assistant/linebackers,defensive assistant/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defensive Assistant/linebackers,defensive assistant/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Defensive assistant/nickelbacks,defensive assistant/nickelbacks,Position Coach - Defense,Linebackers Coach,LB,
Defensive assistant/outside linebackers,defensive assistant/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Defensive backs/nickelbacks,defensive backs/nickelbacks,Position Coach - Defense,Linebackers Coach,LB,
Defensive passing game specialist/nickelbacks,defensive passing game specialist/nickelbacks,Position Coach - Defense,Linebackers Coach,LB,
Defensive/linebackers,defensive/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Inside Linebackers,inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside
Inside linebackers,inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside
Inside linebackers assistant,inside linebackers assistant,Position Coach - Defense,Linebackers Coach,LB,Inside
Interim defensive coordinator/linebackers,interim defensive coordinator/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Interim defensive coordinator/outside linebackers,interim defensive coordinator/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Interim head coach/linebackers,interim head coach/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Interim head coach/outside linebackers,interim head coach/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
LB Rocky Boiman [ 15 ],lb rocky boiman [ 15 ],Position Coach - Defense,Linebackers Coach,LB,
Linebackers,linebackers,Position Coach - Defense,Linebackers Coach,LB,
Linebackers coach,linebackers coach,Position Coach - Defense,Linebackers Coach,LB,
Linebackers/outside linebackers,linebackers/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Linebackers/pass rush coordinator,linebackers/pass rush coordinator,Position Coach - Defense,Linebackers Coach,LB,
Linebackers/third down package,linebackers/third down package,Position Coach - Defense,Linebackers Coach,LB,
Nickelbacks,nickelbacks,Position Coach - Defense,Linebackers Coach,LB,
Outside linebacker/Senior Defensive assistant,outside linebacker/senior defensive assistant,Position Coach - Defense,Linebackers Coach,LB,Outside
Outside Linebackers,outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Outside linebackers,outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Outside linebackers/pass rush specialist,outside linebackers/pass rush specialist,Position Coach - Defense,Linebackers Coach,LB,Outside
Pass rush analyst/assistant linebackers,pass rush analyst/assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,
Pass rush analyst/Assistant linebackers,pass rush analyst/assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,
Run game specialist/outside linebackers,run game specialist/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Senior defensive assistant/linebackers,senior defensive assistant/linebackers,Position Coach - Defense,Linebackers Coach,LB,
Senior defensive assistant/outside linebackers,senior defensive assistant/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Senior defensive assistant/Outside linebackers,senior defensive assistant/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside
Administrator of college scouting,administrator of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Assistant controller,assistant controller,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Controller,assistant controller,Position Coach - Offense,Offensive Line Coach,OL,
Assistant controller–management,assistant controller-management,Position Coach - Offense,Offensive Line Coach,OL,
Assistant controller–tickets,assistant controller-tickets,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Director of College Personnel,assistant director of college personnel,Position Coach - Offense,Offensive Line Coach,OL,
Assistant director of college personnel,assistant director of college personnel,Position Coach - Offense,Offensive Line Coach,OL,
Assistant director of college scouting,assistant director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Director of College Scouting,assistant director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Associate director of college scouting,assistant director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Director of college scouting,assistant director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Assistant director of college scouting/national scout,assistant director of college scouting/national scout,Position Coach - Offense,Offensive Line Coach,OL,
Assistant director of player personnel and college scouting director,assistant director of player personnel and college scouting director,Position Coach - Offense,Offensive Line Coach,OL,
Assistant directors of college scouting,assistant directors of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Asst general manager/college scouting director,assistant general manager/college scouting director,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive coordinator/offensive line,assistant offensive coordinator/offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Offensive Line,assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive line,assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive line / run game specialist,assistant offensive line / run game specialist,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive line coach,assistant offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive line/Assistant Strength and Conditioning,assistant offensive line/assistant strength and conditioning,Position Coach - Offense,Offensive Line Coach,OL,
Assistant offensive line/offensive assistant,assistant offensive line/offensive assistant,Position Coach - Offense,Offensive Line Coach,OL,
Assistant to the offensive line,assistant to the offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Asst. Director of College Scouting,assistant. director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Asst. general manager/college scouting director,assistant. general manager/college scouting director,Position Coach - Offense,Offensive Line Coach,OL,
Asst. offensive line,assistant. offensive line,Position Coach - Offense,Offensive Line Coach,OL,
BLESTO College Scout,blesto college scout,Position Coach - Offense,Offensive Line Coach,OL,
Carroll Huntress,carroll huntress,Position Coach - Offense,Offensive Line Coach,OL,
Co–college scouting director,co-college scouting director,Position Coach - Offense,Offensive Line Coach,OL,
Co–director of player personnel & Director of college scouting,co-director of player personnel & director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Co–directors of college scouting,co-directors of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Co–offensive line,co-offensive line,Position Coach - Offense,Offensive Line Coach,OL,
College personnel,college personnel,Position Coach - Offense,Offensive Line Coach,OL,
College personnel assistant,college personnel assistant,Position Coach - Offense,Offensive Line Coach,OL,
College personnel coordinator,college personnel coordinator,Position Coach - Offense,Offensive Line Coach,OL,
College scout,college scout,Position Coach - Offense,Offensive Line Coach,OL,
College Scout,college scout,Position Coach - Offense,Offensive Line Coach,OL,
College scouting,college scouting,Position Coach - Offense,Offensive Line Coach,OL,
College scouting consultant,college scouting consultant,Position Coach - Offense,Offensive Line Coach,OL,
College Scouting Consultant,college scouting consultant,Position Coach - Offense,Offensive Line Coach,OL,
College scouting coordinator,college scouting coordinator,Position Coach - Offense,Offensive Line Coach,OL,
College Scouting Coordinator,college scouting coordinator,Position Coach - Offense,Offensive Line Coach,OL,
College scouting director,college scouting director,Position Coach - Offense,Offensive Line Coach,OL,
College scouts,college scouts,Position Coach - Offense,Offensive Line Coach,OL,
College talent scout,college talent scout,Position Coach - Offense,Offensive Line Coach,OL,
College Talent Scout,college talent scout,Position Coach - Offense,Offensive Line Coach,OL,
College/pro scout,college/pro scout,Position Coach - Offense,Offensive Line Coach,OL,
College/Pro Scout,college/pro scout,Position Coach - Offense,Offensive Line Coach,OL,
Controller,controller,Position Coach - Offense,Offensive Line Coach,OL,
Controlling owner,controlling owner,Position Coach - Offense,Offensive Line Coach,OL,
Coordinator of College Scouting,coordinator of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Coordinator of college scouting,coordinator of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Director of Coleege Scouting,director of coleege scouting,Position Coach - Offense,Offensive Line Coach,OL,
Director of College and Pro Scouting,director of college and pro scouting,Position Coach - Offense,Offensive Line Coach,OL,
Director of college personnel,director of college personnel,Position Coach - Offense,Offensive Line Coach,OL,
Director of college player personnel,director of college player personnel,Position Coach - Offense,Offensive Line Coach,OL,
Director of college scouting,director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Director of College Scouting,director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Director of college scouting operations,director of college scouting operations,Position Coach - Offense,Offensive Line Coach,OL,
Director of game management/offensive line assistant,director of game management/offensive line assistant,Position Coach - Offense,Offensive Line Coach,OL,
Director of player personnel/College,director of player personnel/college,Position Coach - Offense,Offensive Line Coach,OL,
Director of player personnel/college,director of player personnel/college,Position Coach - Offense,Offensive Line Coach,OL,
"Director, college scouting","director, college scouting",Position Coach - Offense,Offensive Line Coach,OL,
Directors of pro/college personnel,directors of pro/college personnel,Position Coach - Offense,Offensive Line Coach,OL,
Interim general manager/director of college scouting,interim general manager/director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Interim head coach (games 1–6)/offensive line/running game,interim head coach (games 1-6)/offensive line/running game,Position Coach - Offense,Offensive Line Coach,OL,
Johnny Roland,johnny roland,Position Coach - Offense,Offensive Line Coach,OL,
National coordinator of college scouting,national coordinator of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
National supervisor of college scouting,national supervisor of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Neurological surgeon,neurological surgeon,Position Coach - Offense,Offensive Line Coach,OL,
Neurological surgery consultant,neurological surgery consultant,Position Coach - Offense,Offensive Line Coach,OL,
Offensive assistant/assistant offensive line,offensive assistant/assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Offensive assistant/offensive line,offensive assistant/offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line,offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Offensive Line,offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line assistant,offensive line assistant,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line coach,offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line Coach,offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line consultant,offensive line consultant,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line–tackles,offensive line-tackles,Position Coach - Offense,Offensive Line Coach,OL,Tackles
Offensive line/consultant,offensive line/consultant,Position Coach - Offense,Offensive Line Coach,OL,
Offensive line/running game,offensive line/running game,Position Coach - Offense,Offensive Line Coach,OL,
Offensive supervisor/offensive line,offensive supervisor/offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Ophthalmologist,ophthalmologist,Position Coach - Offense,Offensive Line Coach,OL,
Payroll/benefits administrator,payroll/benefits administrator,Position Coach - Offense,Offensive Line Coach,OL,
Player personnel executive college/pro,player personnel executive college/pro,Position Coach - Offense,Offensive Line Coach,OL,
Pro/college scout,pro/college scout,Position Coach - Offense,Offensive Line Coach,OL,
Regional director of college scouting,regional director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
Run game specialist/assistant offensive line,run game specialist/assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Run game specialist/assistant offensive line coach,run game specialist/assistant offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,
Scouting director (College),scouting director (college),Position Coach - Offense,Offensive Line Coach,OL,
Senior assistant college scouting,senior assistant college scouting,Position Coach - Offense,Offensive Line Coach,OL,
"Senior assistant, college scouting","senior assistant, college scouting",Position Coach - Offense,Offensive Line Coach,OL,
Senior assistant/offensive line,senior assistant/offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Senior college executive,senior college executive,Position Coach - Offense,Offensive Line Coach,OL,
Senior director college/pro personnel,senior director college/pro personnel,Position Coach - Offense,Offensive Line Coach,OL,
Senior director of college scouting,senior director of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
"Senior executive, college scouting","senior executive, college scouting",Position Coach - Offense,Offensive Line Coach,OL,
Senior football advisor/offensive line,senior football advisor/offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Senior offensive line,senior offensive line,Position Coach - Offense,Offensive Line Coach,OL,
Senior personnel executive & deputy chief of college scouting staff,senior personnel executive & deputy chief of college scouting staff,Position Coach - Offense,Offensive Line Coach,OL,
Special assistant/pro and college personnel,special assistant/pro and college personnel,Position Coach - Offense,Offensive Line Coach,OL,
Vice president of college scouting,vice president of college scouting,Position Coach - Offense,Offensive Line Coach,OL,
VP/Assistant Director of College and Pro Scouting,vp/assistant director of college and pro scouting,Position Coach - Offense,Offensive Line Coach,OL,
Assistant Quarterbacks,assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks,assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks / Director of game management,assistant quarterbacks / director of game management,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks coach/pass game specialist,assistant quarterbacks coach/pass game specialist,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks/chief of special projects,assistant quarterbacks/chief of special projects,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks/game management,assistant quarterbacks/game management,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks/offensive assistant,assistant quarterbacks/offensive assistant,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks/offensive quality control,assistant quarterbacks/offensive quality control,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant quarterbacks/wide receivers,assistant quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Bill bidwill coaching fellowship/assistant quarterbacks,bill bidwill coaching fellowship/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Bill Bidwill Fellowship/quarterbacks,bill bidwill fellowship/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Director of football strategy/assistant quarterbacks,director of football strategy/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Interim offensive coordinator/quarterbacks,interim offensive coordinator/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offense/quarterbacks,offense/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive assistant (quarterbacks/receivers),offensive assistant (quarterbacks/receivers),Position Coach - Offense,Quarterbacks Coach,QB,
Offensive assistant (quarterbacks/wide receivers),offensive assistant (quarterbacks/wide receivers),Position Coach - Offense,Quarterbacks Coach,QB,
Offensive assistant/assistant quarterbacks,offensive assistant/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive assistant/assistant quarterbacks coach,offensive assistant/assistant quarterbacks coach,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive assistant/quarterbacks,offensive assistant/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive quality control/assistant quarterbacks,offensive quality control/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive quality control/quarterbacks,offensive quality control/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Offensive/quarterbacks/receivers,offensive/quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Pass game analyst/assistant quarterbacks,pass game analyst/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Quality Control / Quarterbacks,quality control / quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Quality control/quarterbacks,quality control/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterback fellowship,quarterback fellowship,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks,quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks and Receivers,quarterbacks and receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks and receivers,quarterbacks and receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks Coach,quarterbacks coach,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks coach,quarterbacks coach,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/interim offensive coordinator,quarterbacks/interim offensive coordinator,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/Interim Offensive Coordinator,quarterbacks/interim offensive coordinator,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/offensive backs,quarterbacks/offensive backs,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/Offensive Backs,quarterbacks/offensive backs,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/pass game,quarterbacks/pass game,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/pass offense,quarterbacks/pass offense,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/passing game,quarterbacks/passing game,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/Receivers,quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/receivers,quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/running backs,quarterbacks/running backs,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/Wide Receivers,quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Quarterbacks/wide receivers,quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,
Senior assistant/quarterbacks,senior assistant/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Wide Receivers / Quarterbacks,wide receivers / quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Wide receivers / Quarterbacks,wide receivers / quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Wide receivers/quarterbacks,wide receivers/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,
Assistant offensive coordinator/assistant quarterbacks,assistant offensive coordinator/assistant quarterbacks,Position Coach - Offense,Running Backs Coach,RB,
Assistant running backs,assistant running backs,Position Coach - Offense,Running Backs Coach,RB,
Assistant Running Backs,assistant running backs,Position Coach - Offense,Running Backs Coach,RB,
Assistant running backs/assistant wide receivers,assistant running backs/assistant wide receivers,Position Coach - Offense,Running Backs Coach,RB,
Assistant Secondary (Cornerbacks),assistant secondary (cornerbacks),Position Coach - Offense,Running Backs Coach,RB,
Assistant secondary/cornerbacks,assistant secondary/cornerbacks,Position Coach - Offense,Running Backs Coach,RB,
Assistant special teams/assistant running backs,assistant special teams/assistant running backs,Position Coach - Offense,Running Backs Coach,RB,
Backfield,backfield,Position Coach - Offense,Running Backs Coach,RB,
Bill bidwill coaching fellowship/running backs,bill bidwill coaching fellowship/running backs,Position Coach - Offense,Running Backs Coach,RB,
Bill Bidwill Fellowship/assistant running backs,bill bidwill fellowship/assistant running backs,Position Coach - Offense,Running Backs Coach,RB,
Connie Carberg,connie carberg,Position Coach - Offense,Running Backs Coach,RB,
Cornerbacks,cornerbacks,Position Coach - Offense,Running Backs Coach,RB,
Cornerbacks/pass game specialist,cornerbacks/pass game specialist,Position Coach - Offense,Running Backs Coach,RB,
Cornerbacks/secondary,cornerbacks/secondary,Position Coach - Offense,Running Backs Coach,RB,
Interim head coach/running backs,interim head coach/running backs,Position Coach - Offense,Running Backs Coach,RB,
Interim offensive coordinator/running backs,interim offensive coordinator/running backs,Position Coach - Offense,Running Backs Coach,RB,
Interim running backs,interim running backs,Position Coach - Offense,Running Backs Coach,RB,
Offensive assistant (running backs),offensive assistant (running backs),Position Coach - Offense,Running Backs Coach,RB,
Offensive assistant/quarterbacs,offensive assistant/quarterbacs,Position Coach - Offense,Running Backs Coach,RB,
Offensive Assistant/Running Backs/Special Teams,offensive assistant/running backs/special teams,Position Coach - Offense,Running Backs Coach,RB,
Offensive Backfield,offensive backfield,Position Coach - Offense,Running Backs Coach,RB,
Offensive backfield,offensive backfield,Position Coach - Offense,Running Backs Coach,RB,
