role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Equipment Manager,equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,
Field manager,field manager,Administrative & Operations,Equipment/Video/Field Staff,,
Field Manager,field manager,Administrative & Operations,Equipment/Video/Field Staff,,
Field manager/assistant equipment manager,field manager/assistant equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,
Field/equipment assistant,field/equipment assistant,Administrative & Operations,Equipment/Video/Field Staff,,
Photographer,photographer,Administrative & Operations,Equipment/Video/Field Staff,,
Photographers,photographers,Administrative & Operations,Equipment/Video/Field Staff,,
Scouting video coordinator,scouting video coordinator,Administrative & Operations,Equipment/Video/Field Staff,,
Video & film director,video & film director,Administrative & Operations,Equipment/Video/Field Staff,,
Video assistant,video assistant,Administrative & Operations,Equipment/Video/Field Staff,,
Video Assistant,video assistant,Administrative & Operations,Equipment/Video/Field Staff,,
Video coordinator,video coordinator,Administrative & Operations,Equipment/Video/Field Staff,,
Video/facilities coordinator,video/facilities coordinator,Administrative & Operations,Equipment/Video/Field Staff,,
Broadcasting assistant,broadcasting assistant,Administrative & Operations,Film/Broadcasting,,
Film director,film director,Administrative & Operations,Film/Broadcasting,,
Film Director,film director,Administrative & Operations,Film/Broadcasting,,
Producer/broadcasting manager,producer/broadcasting manager,Administrative & Operations,Film/Broadcasting,,
Accounting manager,accounting manager,Administrative & Operations,Finance/Accounting,,
Director of finance,director of finance,Administrative & Operations,Finance/Accounting,,
Director of Finance,director of finance,Administrative & Operations,Finance/Accounting,,
Director of Player Finance,director of player finance,Administrative & Operations,Finance/Accounting,,
Director of player finance,director of player finance,Administrative & Operations,Finance/Accounting,,
Merchandising accounting manager,merchandising accounting manager,Administrative & Operations,Finance/Accounting,,
Secretary,secretary,Administrative & Operations,Finance/Accounting,,
Secretary & counsel,secretary & counsel,Administrative & Operations,Finance/Accounting,,
Traveling secretary,traveling secretary,Administrative & Operations,Finance/Accounting,,
Traveling Secretary,traveling secretary,Administrative & Operations,Finance/Accounting,,
Treasurer,treasurer,Administrative & Operations,Finance/Accounting,,
