role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Defensive nickel package/cornerbacks,defensive nickel package/cornerbacks,Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks,Defense
Defensive Secondary,defensive secondary,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Defensive secondary,defensive secondary,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Defensive secondary/strength development coordinator,defensive secondary/strength development coordinator,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Interim defensive coordinator/defensive backs/pass game coordinator,interim defensive coordinator/defensive backs/pass game coordinator,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Interim defensive coordinator/defensive backs/safeties,interim defensive coordinator/defensive backs/safeties,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Interim head coach/defensive backs,interim head coach/defensive backs,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Interim head coach/secondary,interim head coach/secondary,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Nickel,nickel,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Nickel package/secondary,nickel package/secondary,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Nickel/defensive backs,nickel/defensive backs,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Nickelbacks,nickelbacks,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Safeties,safeties,Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Safeties and nickel backs,safeties and nickel backs,Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Safeties/third downs,safeties/third downs,Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Secondary,secondary,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Secondary (Cornerbacks),secondary (cornerbacks),Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks,Defense
Secondary (Safeties),secondary (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Secondary (safeties),secondary (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Secondary assistant,secondary assistant,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Secondary/cornerbacks,secondary/cornerbacks,Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks,Defense
Secondary/corners,secondary/corners,Position Coach - Defense,Defensive Backs Coach,DB,Cornerbacks,Defense
Secondary/nickel specialist,secondary/nickel specialist,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Secondary/nickels,secondary/nickels,Position Coach - Defense,Defensive Backs Coach,DB,Nickelbacks,Defense
Secondary/safeties,secondary/safeties,Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Secondary/third down package,secondary/third down package,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Special assistant/secondary,special assistant/secondary,Position Coach - Defense,Defensive Backs Coach,DB,,Defense
Third Down Specialist (Safeties),third down specialist (safeties),Position Coach - Defense,Defensive Backs Coach,DB,Safeties,Defense
Assistant Defensive Line,assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant defensive line,assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant defensive line/assistant linebackers,assistant defensive line/assistant linebackers,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant defensive line/defensive ends,assistant defensive line/defensive ends,Position Coach - Defense,Defensive Line Coach,DL,Ends,Defense
Assistant defensive line/defensive tackles,assistant defensive line/defensive tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles,Defense
Assistant defensive line/linebackers,assistant defensive line/linebackers,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant defensive line/outside linebackers,assistant defensive line/outside linebackers,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant head coach/defensive line,assistant head coach/defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Associate head coach/defensive line,assistant head coach/defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant Strength/Conditioning and Assistant Defensive Line,assistant strength/conditioning and assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Co–defensive line,co-defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive ends,defensive ends,Position Coach - Defense,Defensive Line Coach,DL,Ends,Defense
Defensive ends/outside linebackers,defensive ends/outside linebackers,Position Coach - Defense,Defensive Line Coach,DL,Ends,Defense
Defensive front assistant,defensive front assistant,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive front seven,defensive front seven,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line,defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive Line,defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line (Regular Season),defensive line (regular season),Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line assistant,defensive line assistant,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line coach,defensive line coach,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line Coach,defensive line coach,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line/chief assistant,defensive line/chief assistant,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive Line/ends,defensive line/ends,Position Coach - Defense,Defensive Line Coach,DL,Ends,Defense
Defensive line/ends,defensive line/ends,Position Coach - Defense,Defensive Line Coach,DL,Ends,Defense
Defensive line/game management,defensive line/game management,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive line/run defense,defensive line/run defense,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Defensive Line/tackles,defensive line/tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles,Defense
Defensive line/tackles,defensive line/tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles,Defense
Defensive tackle,defensive tackle,Position Coach - Defense,Defensive Line Coach,DL,Tackles,Defense
Defensive tackles,defensive tackles,Position Coach - Defense,Defensive Line Coach,DL,Tackles,Defense
Front seven specialist,front seven specialist,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Interim defensive coordinator/defensive line,interim defensive coordinator/defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Interim head coach/defensive line,interim head coach/defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Senior assistant defensive line,senior assistant defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Senior assistant/defensive line,senior assistant/defensive line,Position Coach - Defense,Defensive Line Coach,DL,,Defense
Assistant head coach–defense/linebackers,assistant head coach-defense/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant head coach/defense/inside linebackers,assistant head coach/defense/inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Assistant head coach/inside linebackers,assistant head coach/inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Assistant head coach/linebackers,assistant head coach/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant Head Coach/Linebackers,assistant head coach/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Associate head coach/linebackers,assistant head coach/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant head coach/outside linebackers,assistant head coach/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Assistant inside linebackers,assistant inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Assistant linebackers,assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant Linebackers,assistant linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant linebackers coach,assistant linebackers coach,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant linebackers/assistant secondary,assistant linebackers/assistant secondary,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant linebackers/game management,assistant linebackers/game management,Position Coach - Defense,Linebackers Coach,LB,,Defense
Assistant outside linebackers,assistant outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Assistant Outside Linebackers,assistant outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Assistant secondary/linebackers,assistant secondary/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Defense/Linebackers,defense/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Defense/linebackers,defense/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Defensive/linebackers,defensive/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Inside Linebackers,inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Inside linebackers,inside linebackers,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Inside linebackers assistant,inside linebackers assistant,Position Coach - Defense,Linebackers Coach,LB,Inside,Defense
Interim defensive coordinator/linebackers,interim defensive coordinator/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Interim defensive coordinator/outside linebackers,interim defensive coordinator/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Interim head coach/linebackers,interim head coach/linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Interim head coach/outside linebackers,interim head coach/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
LB Rocky Boiman [ 15 ],lb rocky boiman [ 15 ],Position Coach - Defense,Linebackers Coach,LB,,Defense
Linebackers,linebackers,Position Coach - Defense,Linebackers Coach,LB,,Defense
Linebackers coach,linebackers coach,Position Coach - Defense,Linebackers Coach,LB,,Defense
Linebackers/outside linebackers,linebackers/outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Linebackers/third down package,linebackers/third down package,Position Coach - Defense,Linebackers Coach,LB,,Defense
Outside Linebackers,outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Outside linebackers,outside linebackers,Position Coach - Defense,Linebackers Coach,LB,Outside,Defense
Assistant head coach / offensive line,assistant head coach / offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant Head Coach / Offensive Line,assistant head coach / offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant head coach–offense/offensive line,assistant head coach-offense/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant head coach/offensive line,assistant head coach/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant head coach/Offensive Line,assistant head coach/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant Head Coach/Offensive Line,assistant head coach/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Associate head coach/offensive line,assistant head coach/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant head coach/offensive line coach,assistant head coach/offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant Offensive Line,assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant offensive line,assistant offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant offensive line coach,assistant offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant offensive line/Assistant Strength and Conditioning,assistant offensive line/assistant strength and conditioning,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant to the offensive line,assistant to the offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Asst. offensive line,assistant. offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Co–offensive line,co-offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Director of game management/offensive line assistant,director of game management/offensive line assistant,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Interim head coach (games 1–6)/offensive line/running game,interim head coach (games 1-6)/offensive line/running game,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Interim offensive line,interim offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Interim Offensive line,interim offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive line,offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive Line,offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive line assistant,offensive line assistant,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive line coach,offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive line Coach,offensive line coach,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive line–guards/centers,offensive line-guards/centers,Position Coach - Offense,Offensive Line Coach,OL,Guards/Centers,Offense
Offensive line–tackles,offensive line-tackles,Position Coach - Offense,Offensive Line Coach,OL,Tackles,Offense
Offensive line/running game,offensive line/running game,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Offensive Line: Centers/Guards,offensive line: centers/guards,Position Coach - Offense,Offensive Line Coach,OL,Guards/Centers,Offense
Offensive line: centers/guards,offensive line: centers/guards,Position Coach - Offense,Offensive Line Coach,OL,Guards/Centers,Offense
Offensive supervisor/offensive line,offensive supervisor/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Senior assistant/offensive line,senior assistant/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Senior football advisor/offensive line,senior football advisor/offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Senior offensive line,senior offensive line,Position Coach - Offense,Offensive Line Coach,OL,,Offense
Assistant head coach/Quarterbacks,assistant head coach/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant head coach/quarterbacks,assistant head coach/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Associate head coach/quarterbacks,assistant head coach/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant Quarterbacks,assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant quarterbacks,assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant quarterbacks / Director of game management,assistant quarterbacks / director of game management,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant quarterbacks/chief of special projects,assistant quarterbacks/chief of special projects,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant quarterbacks/game management,assistant quarterbacks/game management,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant quarterbacks/wide receivers,assistant quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Director of football strategy/assistant quarterbacks,director of football strategy/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Interim offensive coordinator/quarterbacks,interim offensive coordinator/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Offense/quarterbacks,offense/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Offensive/quarterbacks/receivers,offensive/quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Pass game analyst/assistant quarterbacks,pass game analyst/assistant quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks,quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks and Receivers,quarterbacks and receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks and receivers,quarterbacks and receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks Coach,quarterbacks coach,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks coach,quarterbacks coach,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/interim offensive coordinator,quarterbacks/interim offensive coordinator,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/Interim Offensive Coordinator,quarterbacks/interim offensive coordinator,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/offensive backs,quarterbacks/offensive backs,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/Offensive Backs,quarterbacks/offensive backs,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/pass game,quarterbacks/pass game,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/pass offense,quarterbacks/pass offense,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/Receivers,quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/receivers,quarterbacks/receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/running backs,quarterbacks/running backs,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/Wide Receivers,quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Quarterbacks/wide receivers,quarterbacks/wide receivers,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Senior assistant/quarterbacks,senior assistant/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Wide Receivers / Quarterbacks,wide receivers / quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Wide receivers / Quarterbacks,wide receivers / quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Wide receivers/quarterbacks,wide receivers/quarterbacks,Position Coach - Offense,Quarterbacks Coach,QB,,Offense
Assistant head coach / running backs,assistant head coach / running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant head coach–offense/running backs,assistant head coach-offense/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant head coach/running backs,assistant head coach/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Associate head coach/running backs,assistant head coach/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant running backs,assistant running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant Running Backs,assistant running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant running backs/assistant wide receivers,assistant running backs/assistant wide receivers,Position Coach - Offense,Running Backs Coach,RB,,Offense
Backfield,backfield,Position Coach - Offense,Running Backs Coach,RB,,Offense
Interim head coach/running backs,interim head coach/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Interim offensive coordinator/running backs,interim offensive coordinator/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Interim running backs,interim running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Offensive Backfield,offensive backfield,Position Coach - Offense,Running Backs Coach,RB,,Offense
Offensive backfield,offensive backfield,Position Coach - Offense,Running Backs Coach,RB,,Offense
Offensive Backfield Coach,offensive backfield coach,Position Coach - Offense,Running Backs Coach,RB,,Offense
Offensive Backs,offensive backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Offensive backs,offensive backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Qffensive Backfield / Receivers Coach,qffensive backfield / receivers coach,Position Coach - Offense,Running Backs Coach,RB,,Offense
Running backs,running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Running Backs,running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Running backs coach,running backs coach,Position Coach - Offense,Running Backs Coach,RB,,Offense
Running backs/kick returners,running backs/kick returners,Position Coach - Offense,Running Backs Coach,RB,,Offense
Senior assistant/running backs,senior assistant/running backs,Position Coach - Offense,Running Backs Coach,RB,,Offense
Assistant head coach/tight ends,assistant head coach/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant Offensive Line/Tight Ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant offensive line/tight ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant offensive line/Tight Ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant offensive line/tight ends/run game,assistant offensive line/tight ends/run game,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant tight ends,assistant tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant Tight Ends Coach,assistant tight ends coach,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant tight ends/offensive line,assistant tight ends/offensive line,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Assistant wide receivers/tight ends,assistant wide receivers/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Game management coordinator/assistant tight ends,game management coordinator/assistant tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Head of Pro Scouting/Tight Ends,head of pro scouting/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Interim tight ends,interim tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offense/Tight Ends,offense/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offense/tight ends,offense/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offensive Line/tight ends,offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offensive line/tight ends,offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offensive Line: Tackles/Tight Ends,offensive line: tackles/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Offensive line: tackles/tight ends,offensive line: tackles/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Pass coordinator/tight ends,pass coordinator/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Receivers/tight ends,receivers/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends,tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends,tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/assistant offensive line,tight ends/assistant offensive line,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/Assistant Offensive line,tight ends/assistant offensive line,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/Assistant Offensive Line,tight ends/assistant offensive line,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/fullbacks,tight ends/fullbacks,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/h–backs,tight ends/h-backs,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/offensive line,tight ends/offensive line,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/offensive line Assistant,tight ends/offensive line assistant,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/offensive line Assistant,tight ends/offensive line assistant,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/offensive line assistant,tight ends/offensive line assistant,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/Offensive Line Assistant,tight ends/offensive line assistant,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/Offensive Scouting Reports,tight ends/offensive scouting reports,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/staff administrative assistant,tight ends/staff administrative assistant,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight ends/wide receivers,tight ends/wide receivers,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Tight Ends/Wide Receivers,tight ends/wide receivers,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Wide receivers/tight ends,wide receivers/tight ends,Position Coach - Offense,Tight Ends Coach,TE,,Offense
Associate head coach / wide receivers,assistant head coach / wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant head coach offense/wide receivers,assistant head coach offense/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant head coach/offense/wide receivers,assistant head coach/offense/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant head coach/Wide Receivers,assistant head coach/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant head coach/wide receivers,assistant head coach/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant Head Coach/Wide Receivers,assistant head coach/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Associate head coach/wide receivers,assistant head coach/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant receivers,assistant receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant wide receivers,assistant wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant Wide receivers,assistant wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Assistant wide receivers/game management,assistant wide receivers/game management,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Interim wide receivers,interim wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Receivers,receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Receivers Coach,receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Receivers coach,receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Senior assistant/wide receivers,senior assistant/wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Wide receivers,wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Wide Receivers,wide receivers,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Wide receivers Coach,wide receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Wide receivers coach,wide receivers coach,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Wide receivers/kick returners,wide receivers/kick returners,Position Coach - Offense,Wide Receivers Coach,WR,,Offense
Kickers,kickers,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Kicking,kicking,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Kicking Teams,kicking teams,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Punting,punting,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Specialist,specialist,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Specialists,specialists,Position Coach - Special Teams,Kicking/Punting Coach,ST,,Special Teams
Assistant defensive backs/special teams assistant,assistant defensive backs/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant defensive line/assistant special teams,assistant defensive line/assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant head coach/special teams,assistant head coach/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant Head Coach/Special Teams,assistant head coach/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams,assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant Special Teams,assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams coach,assistant special teams coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant Special teams coach,assistant special teams coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/assistant defensive backs,assistant special teams/assistant defensive backs,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/assistant director of player development,assistant special teams/assistant director of player development,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/assistant linebackers,assistant special teams/assistant linebackers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/assistant running backs,assistant special teams/assistant running backs,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/assistant strength and conditioning,assistant special teams/assistant strength and conditioning,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/head coach liaison,assistant special teams/head coach liaison,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/kickers,assistant special teams/kickers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/linebackers assistant,assistant special teams/linebackers assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/nickelbacks,assistant special teams/nickelbacks,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/offense,assistant special teams/offense,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant special teams/secondary,assistant special teams/secondary,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
