role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Assistant equipment manager,assistant equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Director of video services,director of video services,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Equipment consultant,equipment consultant,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Equipment manager,equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Equipment Manager,equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Field manager,field manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Field Manager,field manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Field manager/assistant equipment manager,field manager/assistant equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Field/equipment assistant,field/equipment assistant,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Photographer,photographer,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Photographers,photographers,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Scouting video coordinator,scouting video coordinator,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Team photographer,team photographer,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video & film director,video & film director,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video assistant,video assistant,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video Assistant,video assistant,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video coordinator,video coordinator,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video team,video team,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Video/facilities coordinator,video/facilities coordinator,Administrative & Operations,Equipment/Video/Field Staff,,,N/A
Broadcasting assistant,broadcasting assistant,Administrative & Operations,Film/Broadcasting,,,N/A
Film Coordinator,film coordinator,Administrative & Operations,Film/Broadcasting,,,N/A
Film director,film director,Administrative & Operations,Film/Broadcasting,,,N/A
Film Director,film director,Administrative & Operations,Film/Broadcasting,,,N/A
Offensive/Film Assistant,offensive/film assistant,Administrative & Operations,Film/Broadcasting,,,N/A
Producer/broadcasting manager,producer/broadcasting manager,Administrative & Operations,Film/Broadcasting,,,N/A
Accounting manager,accounting manager,Administrative & Operations,Finance/Accounting,,,N/A
Accounts coordinator,accounts coordinator,Administrative & Operations,Finance/Accounting,,,N/A
Assistant controller,assistant controller,Administrative & Operations,Finance/Accounting,,,N/A
Assistant Controller,assistant controller,Administrative & Operations,Finance/Accounting,,,N/A
Assistant controller–management,assistant controller-management,Administrative & Operations,Finance/Accounting,,,N/A
Assistant controller–tickets,assistant controller-tickets,Administrative & Operations,Finance/Accounting,,,N/A
Controller,controller,Administrative & Operations,Finance/Accounting,,,N/A
Director of finance,director of finance,Administrative & Operations,Finance/Accounting,,,N/A
Director of Finance,director of finance,Administrative & Operations,Finance/Accounting,,,N/A
Director of Player Finance,director of player finance,Administrative & Operations,Finance/Accounting,,,N/A
Director of player finance,director of player finance,Administrative & Operations,Finance/Accounting,,,N/A
Merchandising accounting manager,merchandising accounting manager,Administrative & Operations,Finance/Accounting,,,N/A
Secretary,secretary,Administrative & Operations,Finance/Accounting,,,N/A
Secretary & counsel,secretary & counsel,Administrative & Operations,Finance/Accounting,,,N/A
Traveling secretary,traveling secretary,Administrative & Operations,Finance/Accounting,,,N/A
Traveling Secretary,traveling secretary,Administrative & Operations,Finance/Accounting,,,N/A
Treasurer,treasurer,Administrative & Operations,Finance/Accounting,,,N/A
Vice president for finance,vice president for finance,Administrative & Operations,Finance/Accounting,,,N/A
Vice president of administration and finance,vice president of administration and finance,Administrative & Operations,Finance/Accounting,,,N/A
Vice president of finance,vice president of finance,Administrative & Operations,Finance/Accounting,,,N/A
Vice–president of administration and Finance,vice-president of administration and finance,Administrative & Operations,Finance/Accounting,,,N/A
Football administration coordinator,football administration coordinator,Administrative & Operations,Football Administration,,,N/A
Manager of football administration,manager of football administration,Administrative & Operations,Football Administration,,,N/A
Coordinator of football administration,coordinator of football administration,Administrative & Operations,Football Administration Coordinator,,,N/A
coordinator of football administration,coordinator of football administration,Administrative & Operations,Football Administration Coordinator,,,N/A
Senior football advisor,senior football advisor,Administrative & Operations,Football Advisor/Consultant,,,N/A
Vice president/football advisor,vice president/football advisor,Administrative & Operations,Football Advisor/Consultant,,,N/A
Computer director,computer director,Administrative & Operations,Information Technology,,,N/A
Information technology administrator,information technology administrator,Administrative & Operations,Information Technology,,,N/A
Information technology manager,information technology manager,Administrative & Operations,Information Technology,,,N/A
IT/Network Support Technician,it/network support technician,Administrative & Operations,Information Technology,,,N/A
Technology manager,technology manager,Administrative & Operations,Information Technology,,,N/A
Assistant director of ticket sales,assistant director of ticket sales,Administrative & Operations,Marketing/Sales,,,N/A
Assistant marketing manager,assistant marketing manager,Administrative & Operations,Marketing/Sales,,,N/A
Assistant merchandising manager,assistant merchandising manager,Administrative & Operations,Marketing/Sales,,,N/A
Director of marketing,director of marketing,Administrative & Operations,Marketing/Sales,,,N/A
Director of ticket sales,director of ticket sales,Administrative & Operations,Marketing/Sales,,,N/A
Director of Ticket Sales,director of ticket sales,Administrative & Operations,Marketing/Sales,,,N/A
Executive vice president/chief marketing officer,executive vice president/chief marketing officer,Administrative & Operations,Marketing/Sales,,,N/A
Executive vice president/Chief of sales & marketing for officer,executive vice president/chief of sales & marketing for officer,Administrative & Operations,Marketing/Sales,,,N/A
Executive vice president/Chief sales & marketing officer,executive vice president/chief sales & marketing officer,Administrative & Operations,Marketing/Sales,,,N/A
Luxury suite manager,luxury suite manager,Administrative & Operations,Marketing/Sales,,,N/A
Marketing assistant,marketing assistant,Administrative & Operations,Marketing/Sales,,,N/A
Marketing coordinator,marketing coordinator,Administrative & Operations,Marketing/Sales,,,N/A
Marketing manager,marketing manager,Administrative & Operations,Marketing/Sales,,,N/A
Marketing/community relations manager,marketing/community relations manager,Administrative & Operations,Marketing/Sales,,,N/A
Merchandising manager,merchandising manager,Administrative & Operations,Marketing/Sales,,,N/A
Office/ticket coordinator,office/ticket coordinator,Administrative & Operations,Marketing/Sales,,,N/A
Office/ticket manager,office/ticket manager,Administrative & Operations,Marketing/Sales,,,N/A
Season ticket assistant,season ticket assistant,Administrative & Operations,Marketing/Sales,,,N/A
Ticket manager,ticket manager,Administrative & Operations,Marketing/Sales,,,N/A
Ticket sales manager,ticket sales manager,Administrative & Operations,Marketing/Sales,,,N/A
Executive Assistant,executive assistant,Administrative & Operations,Office Manager/Executive Assistant,,,N/A
Executive assistant,executive assistant,Administrative & Operations,Office Manager/Executive Assistant,,,N/A
Executive Assistant to the President,executive assistant to the president,Administrative & Operations,Office Manager/Executive Assistant,,,N/A
Office manager,office manager,Administrative & Operations,Office Manager/Executive Assistant,,,N/A
Office manager/computer,office manager/computer,Administrative & Operations,Office Manager/Executive Assistant,,,N/A
Assistant editor/website,assistant editor/website,Administrative & Operations,Public Relations/Media,,,N/A
Assistant publicity director,assistant publicity director,Administrative & Operations,Public Relations/Media,,,N/A
Assistant Publicity Director,assistant publicity director,Administrative & Operations,Public Relations/Media,,,N/A
Communications coordinator,communications coordinator,Administrative & Operations,Public Relations/Media,,,N/A
Digital media assistant,digital media assistant,Administrative & Operations,Public Relations/Media,,,N/A
Director of communications,director of communications,Administrative & Operations,Public Relations/Media,,,N/A
Director of football communications,director of football communications,Administrative & Operations,Public Relations/Media,,,N/A
Editor,editor,Administrative & Operations,Public Relations/Media,,,N/A
Media relations coordinator,media relations coordinator,Administrative & Operations,Public Relations/Media,,,N/A
Public relations assistant,public relations assistant,Administrative & Operations,Public Relations/Media,,,N/A
Public relations coordinator,public relations coordinator,Administrative & Operations,Public Relations/Media,,,N/A
Public relations director,public relations director,Administrative & Operations,Public Relations/Media,,,N/A
Public Relations Director,public relations director,Administrative & Operations,Public Relations/Media,,,N/A
Public relations/media manager,public relations/media manager,Administrative & Operations,Public Relations/Media,,,N/A
Publicity director,publicity director,Administrative & Operations,Public Relations/Media,,,N/A
Publicity Director,publicity director,Administrative & Operations,Public Relations/Media,,,N/A
Senior vice president of administration,senior vice president of administration,Administrative & Operations,SVP Administration,,,N/A
Senior Vice President of Administration,senior vice president of administration,Administrative & Operations,SVP Administration,,,N/A
Director of salary cap & player contracts,director of salary cap & player contracts,Administrative & Operations,Salary Cap,,,N/A
Director of salary cap/player contracts,director of salary cap/player contracts,Administrative & Operations,Salary Cap,,,N/A
Salary cap & legal executive,salary cap & legal executive,Administrative & Operations,Salary Cap,,,N/A
Salary cap administrator,salary cap administrator,Administrative & Operations,Salary Cap,,,N/A
Senior director of salary cap & player contracts,senior director of salary cap & player contracts,Administrative & Operations,Salary Cap,,,N/A
Vice president of stadium development and salary cap,vice president of stadium development and salary cap,Administrative & Operations,Salary Cap,,,N/A
Stadium project manager,stadium project manager,Administrative & Operations,Stadium/Facilities,,,N/A
Director of roster management,director of roster management,Administrative & Operations,Team Development/Roster,,,N/A
Director of team development,director of team development,Administrative & Operations,Team Development/Roster,,,N/A
Executive vice–president of Team Development,executive vice-president of team development,Administrative & Operations,Team Development/Roster,,,N/A
Vice president of team development,vice president of team development,Administrative & Operations,Team Development/Roster,,,N/A
Administrative assistant/football operations/travel,administrative assistant/football operations/travel,Administrative & Operations,Team Travel,,,N/A
Chief negotiator/travel,chief negotiator/travel,Administrative & Operations,Team Travel,,,N/A
Director of team travel & football logistics,director of team travel & football logistics,Administrative & Operations,Team Travel,,,N/A
Director of team travel and logistics,director of team travel and logistics,Administrative & Operations,Team Travel,,,N/A
Executive vice–president of administration,executive vice-president of administration,Administrative & Operations,VP Administration,,,N/A
Senior Vice–president of Football Administration,senior vice-president of football administration,Administrative & Operations,VP Administration,,,N/A
Vice–president of administration,vice-president of administration,Administrative & Operations,VP Administration,,,N/A
Vice president of player engagement,vice president of player engagement,Administrative & Operations,VP Player Engagement,,,N/A
Analytics and football research coordinator,analytics and football research coordinator,Analytics & Research,Analytics/Research,,,N/A
Analytics assistant,analytics assistant,Analytics & Research,Analytics/Research,,,N/A
Assistant director of analytics,assistant director of analytics,Analytics & Research,Analytics/Research,,,N/A
Assistant director of Coaching research,assistant director of coaching research,Analytics & Research,Analytics/Research,,,N/A
Assistant director of football analytics,assistant director of football analytics,Analytics & Research,Analytics/Research,,,N/A
Assistant director of football research and strategy,assistant director of football research and strategy,Analytics & Research,Analytics/Research,,,N/A
Assistant for research and development,assistant for research and development,Analytics & Research,Analytics/Research,,,N/A
Assistant sports science/analytics,assistant sports science/analytics,Analytics & Research,Analytics/Research,,,N/A
Coaching analyst,coaching analyst,Analytics & Research,Analytics/Research,,,N/A
Coaching operations manager/football analytics,coaching operations manager/football analytics,Analytics & Research,Analytics/Research,,,N/A
Conditioning & performance analyst,conditioning & performance analyst,Analytics & Research,Analytics/Research,,,N/A
